date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:23:30	340978/340978	---M--	200	added ('OK')	application/pdf	etag:%221472072758.0-340978-664473243%22	http://127.0.0.1/static/attachment/17.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/17.pdf	(from http://127.0.0.1/publications)
14:23:30	157146/157146	---M--	200	added ('OK')	application/pdf	etag:%221466173437.0-157146-664800924%22	http://127.0.0.1/static/attachment/18.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/18.pdf	(from http://127.0.0.1/publications)
14:23:30	397700/397700	---M--	200	added ('OK')	application/pdf	etag:%221471543695.0-397700-665128605%22	http://127.0.0.1/static/attachment/19.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/19.pdf	(from http://127.0.0.1/publications)
14:23:30	303605/303605	---M--	200	added ('OK')	application/pdf	etag:%221471544763.0-303605-662900374%22	http://127.0.0.1/static/attachment/21.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/21.pdf	(from http://127.0.0.1/publications)
14:23:30	452030/452030	---M--	200	added ('OK')	application/pdf	etag:%221471976095.0-452030-663228055%22	http://127.0.0.1/static/attachment/22.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/22.pdf	(from http://127.0.0.1/publications)
14:23:30	275033/275033	---M--	200	added ('OK')	application/pdf	etag:%221472072622.0-275033-663555736%22	http://127.0.0.1/static/attachment/23.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/23.pdf	(from http://127.0.0.1/publications)
14:23:30	784423/784423	---M--	200	added ('OK')	application/pdf	etag:%221472072503.0-784423-663883417%22	http://127.0.0.1/static/attachment/24.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/24.pdf	(from http://127.0.0.1/publications)
14:23:30	500615/500615	---M--	200	added ('OK')	application/pdf	etag:%221471544896.0-500615-664211098%22	http://127.0.0.1/static/attachment/25.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/25.pdf	(from http://127.0.0.1/publications)
14:23:30	526973/526973	---M--	200	added ('OK')	application/pdf	etag:%221471544940.0-526973-664538779%22	http://127.0.0.1/static/attachment/26.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/26.pdf	(from http://127.0.0.1/publications)
14:23:30	330246/330246	---M--	200	added ('OK')	application/pdf	etag:%221471544971.0-330246-664866460%22	http://127.0.0.1/static/attachment/27.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/27.pdf	(from http://127.0.0.1/publications)
14:23:31	6548933/6548933	---M--	200	added ('OK')	application/pdf	etag:%221471545004.0-6548933-665194141%22	http://127.0.0.1/static/attachment/28.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/28.pdf	(from http://127.0.0.1/publications)
14:23:31	1170517/1170517	---M--	200	added ('OK')	application/pdf	etag:%221472071605.0-1170517-962926932%22	http://127.0.0.1/static/attachment/30ConvolutionalNeuralNetwork.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/30ConvolutionalNeuralNetwork.pdf	(from http://127.0.0.1/publications)
14:23:31	602789/602789	---M--	200	added ('OK')	application/pdf	etag:%221471545088.0-602789-663621272%22	http://127.0.0.1/static/attachment/32.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/32.pdf	(from http://127.0.0.1/publications)
14:23:31	436346/436346	---M--	200	added ('OK')	application/pdf	etag:%221471545145.0-436346-664276634%22	http://127.0.0.1/static/attachment/34.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/34.pdf	(from http://127.0.0.1/publications)
14:23:31	700466/700466	---M--	200	added ('OK')	application/pdf	etag:%221471545281.0-700466-664931996%22	http://127.0.0.1/static/attachment/36.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/36.pdf	(from http://127.0.0.1/publications)
14:23:31	311646/311646	---M--	200	added ('OK')	application/pdf	etag:%221471545459.0-311646-665587358%22	http://127.0.0.1/static/attachment/38.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/38.pdf	(from http://127.0.0.1/publications)
14:23:31	4097509/4097509	---M--	200	added ('OK')	application/pdf	etag:%221471545521.0-4097509-665915039%22	http://127.0.0.1/static/attachment/39.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/39.pdf	(from http://127.0.0.1/publications)
14:23:31	248785/248785	---M--	200	added ('OK')	application/pdf	etag:%221471545752.0-248785-1592206854%22	http://127.0.0.1/static/attachment/42SaccadesInChildrenWithSpinaBifidaAndChiariTypeIImalformation.pdf	D:/Davis/Downloads/Website/VEM_Lab/127.0.0.1/static/attachment/42SaccadesInChildrenWithSpinaBifidaAndChiariTypeIImalformation.pdf	(from http://127.0.0.1/publications)
